id,title,revenue,runtime,budget,original_title,release_year,release_month,top_cast_count,top_writers_count,top_director_count,top_producers_count,top_production_companies_count,historical_vote_average,historical_vote_count,historical_imdb_votes,historical_imdb_rating,historical_popularity,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,is_english,spoken_has_english,success,budget_log,historical_vote_count_log,iso_outlier
328387,Nerve,85241496.0,96.0,19000000.0,Nerve,2016.0,6.0,0,0,0,0,1,6.430749553855791,1274.4724014026008,76956.2884834881,6.625711067649647,4.568126264963984,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,16.759949589762293,7.151071899874312,0
20763,Radio Flyer,4651977.0,114.0,35000000.0,Radio Flyer,1992.0,2.0,1,0,1,0,1,6.404111768262682,475.9818902401252,35021.63988154609,6.814996314991938,3.3085645602423623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17.370858648025116,6.167478524214,0
363676,Sully,240800000.0,96.0,60000000.0,Sully,2016.0,9.0,1,0,1,2,1,6.534366777911998,739.8104026772614,52661.6754326864,6.838874373258635,3.731252867338666,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,17.909855136853043,6.607744725724278,0
8005,Robin Hood: Men in Tights,35739755.0,104.0,20000000.0,Robin Hood: Men in Tights,1993.0,7.0,0,0,0,0,1,6.259231419695125,427.6901268155345,27969.34741173601,6.611859737402988,3.5233073130277828,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.811242881518265,6.060734342817462,0
1443,The Virgin Suicides,10409377.0,97.0,6000000.0,The Virgin Suicides,2000.0,4.0,0,0,0,1,0,6.37985239259397,479.2995213829675,33225.23135078615,6.715950165869492,3.434465737809501,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,15.607270193858982,6.174409912174275,0
513285,Trouble Is My Business,679000.0,116.0,250000.0,Trouble Is My Business,2018.0,4.0,0,0,0,0,0,6.427905833584974,1218.7777654504805,70618.21864304141,6.596375286426661,4.299973028381807,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,12.429220196836383,7.106423961667432,0
89355,New Suit,71159.0,94.0,1000000.0,New Suit,2003.0,5.0,0,0,0,0,0,6.219922250835028,505.1249502728192,32376.06707089984,6.544897494436047,3.623984195002752,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13.815511557963774,6.226783576101531,0
429476,Hell Fest,18160930.0,89.0,5500000.0,Hell Fest,2018.0,9.0,0,0,0,0,1,6.333293068508103,1117.5241655295704,64799.56510739641,6.306637435227305,4.296411448567193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,15.520258832020865,7.019765385998152,0
55890,Bereavement,10000000.0,103.0,2000000.0,Bereavement,2010.0,7.0,0,0,0,0,0,6.31173225819092,859.274534247164,54403.80901796959,6.359543164765547,4.327408178559098,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,14.508658238524095,6.757251564174612,0
1593,Night at the Museum,574480841.0,108.0,110000000.0,Night at the Museum,2006.0,12.0,1,0,0,0,2,6.285843657994336,1210.0529995290065,62125.845653185934,6.466897400680258,4.41492311643937,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,18.5159909328476,7.099245507689571,0
577,To Die For,21300000.0,106.0,20000000.0,To Die For,1995.0,9.0,0,0,0,0,1,6.383923973322197,514.3682457957741,36316.91983889962,6.729454479991002,3.720416811348636,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.811242881518265,6.244881685524304,0
68817,Footloose,63543328.0,113.0,24000000.0,Footloose,2011.0,10.0,3,0,0,2,0,6.332539656337296,489.11992043608006,32724.72755087704,6.6277181315810685,3.433676994740052,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,16.993564429978885,6.194650096745641,0
